id,a,b,mu,sigma2,depthRange,count,x,tau2,depTau
1065,10.160621,14.825747,0.790285,0.030094,1.435865,1,0.838673,0.002176,0.066118
1066,10.176404,14.818447,0.894928,0.051653,1.948390,1,0.813988,0.003787,0.092351
1067,10.438442,14.601220,0.568507,0.010329,1.125027,3,0.581715,0.004075,0.186423
1070,10.000000,15.000000,0.829422,0.076438,1.658844,0,0.908807,0.197300,0.448465
1018,23.977182,13.879294,0.703970,0.000011,1.445970,18,0.714278,0.000079,0.017374
1027,21.716215,13.814299,0.693624,0.000011,1.454491,16,0.704326,0.000061,0.015705
1035,21.169470,13.900490,0.746244,0.000019,1.536572,15,0.758593,0.000114,0.018538
1039,20.221647,13.911565,0.716886,0.000023,1.496184,14,0.728775,0.000128,0.021317
1042,19.409109,13.928477,0.686710,0.000018,1.461251,13,0.697561,0.000079,0.018283
1045,18.451529,13.932602,0.620818,0.000043,1.247200,12,0.630992,0.000219,0.037117
1048,17.457134,13.954544,0.699383,0.000033,1.518408,11,0.709561,0.000118,0.021601
1052,16.502176,14.000956,0.795667,0.000065,1.663240,10,0.806004,0.000213,0.022468
1055,15.819329,14.059118,0.664859,0.000069,1.425470,9,0.669966,0.000213,0.032515
1057,13.170074,14.138316,0.795034,0.000340,1.429997,6,0.797571,0.000579,0.037780
1060,11.625770,14.291680,0.773570,0.001785,1.596432,4,0.765070,0.001358,0.062820
1062,11.507228,14.280340,0.707430,0.001804,1.349230,4,0.685784,0.001398,0.079280
1063,11.958849,14.169490,0.796091,0.001432,1.553763,5,0.796754,0.001379,0.058377
1064,11.383033,14.267127,0.638823,0.002358,1.250575,4,0.643286,0.001986,0.107189
1065,10.462977,14.622298,0.820889,0.011505,1.435865,2,0.824089,0.001619,0.059105
1066,10.483234,14.615257,0.843556,0.020104,1.948390,2,0.814883,0.002564,0.075959
1070,10.040421,14.929478,0.839500,0.066856,1.658844,1,0.876566,0.028590,0.212428
1018,24.912674,13.869692,0.705175,0.000009,1.445970,19,0.715163,0.000076,0.017000
1027,22.642500,13.801877,0.695257,0.000010,1.454491,17,0.704508,0.000057,0.015231
1035,22.092318,13.886923,0.747982,0.000016,1.536572,16,0.759531,0.000108,0.018035
1039,21.143625,13.896945,0.718685,0.000020,1.496184,15,0.729853,0.000121,0.020666
1042,20.333576,13.913437,0.688679,0.000015,1.461251,14,0.697577,0.000073,0.017614
1045,19.353153,13.911832,0.622448,0.000036,1.247200,13,0.632410,0.000206,0.035898
1048,18.382650,13.937361,0.701548,0.000026,1.518408,12,0.709672,0.000108,0.020667
1052,17.420164,13.980556,0.798027,0.000050,1.663240,11,0.805961,0.000193,0.021375
1055,16.733938,14.036679,0.666071,0.000053,1.425470,10,0.669467,0.000192,0.030937
1057,14.010920,14.086885,0.795923,0.000221,1.429997,7,0.793945,0.000496,0.035302
1060,12.356822,14.194753,0.769219,0.000874,1.596432,5,0.762293,0.001088,0.056659
1062,12.179176,14.165063,0.696737,0.000929,1.349230,5,0.659640,0.001126,0.076906
1063,12.704018,14.081070,0.796398,0.000770,1.553763,6,0.797366,0.001108,0.052252
1064,12.010653,14.138674,0.640901,0.001261,1.250575,5,0.644277,0.001596,0.095878
1065,10.940910,14.440157,0.823081,0.003624,1.435865,3,0.812237,0.001293,0.054395
1070,10.219026,14.749313,0.854780,0.039459,1.658844,2,0.844654,0.012312,0.152933
1074,10.000000,15.000000,0.881984,0.086433,1.763967,0,0.842974,0.015066,0.169219
1075,10.000000,15.000000,0.658319,0.048154,1.316639,0,0.689600,0.015554,0.254195
1018,25.851603,13.861134,0.706267,0.000008,1.445970,20,0.716821,0.000073,0.016625
1027,23.582621,13.792269,0.696562,0.000008,1.454491,18,0.706335,0.000055,0.014796
1035,23.021843,13.875177,0.749476,0.000014,1.536572,17,0.761494,0.000104,0.017558
1039,22.071693,13.884189,0.720237,0.000017,1.496184,16,0.732012,0.000116,0.020055
1042,21.273172,13.902036,0.690151,0.000012,1.461251,15,0.699620,0.000069,0.017027
1045,20.260323,13.893471,0.623901,0.000031,1.247200,14,0.634344,0.000196,0.034765
1048,19.320580,13.923960,0.703090,0.000021,1.518408,13,0.712171,0.000102,0.019880
1052,18.350271,13.964384,0.799637,0.000040,1.663240,12,0.809124,0.000179,0.020421
1055,17.658457,14.018177,0.666782,0.000041,1.425470,11,0.671881,0.000179,0.029621
1057,14.874356,14.045783,0.795341,0.000156,1.429997,8,0.803885,0.000443,0.032562
1062,12.851845,14.059125,0.681984,0.000589,1.349230,6,0.646475,0.000976,0.074576
1063,13.497620,14.013371,0.796766,0.000477,1.553763,7,0.802213,0.000947,0.047751
1064,12.704546,14.036620,0.642224,0.000767,1.250575,6,0.646558,0.001340,0.087285
1065,11.577679,14.305520,0.816211,0.001336,1.435865,4,0.813907,0.001132,0.050699
1070,10.504083,14.550551,0.849624,0.019378,1.658844,3,0.839643,0.007770,0.123682
1072,10.000000,15.000000,0.843842,0.079119,1.687684,0,0.833998,0.010053,0.142123
1074,10.186646,14.814192,0.862260,0.042997,1.763967,1,0.862293,0.009742,0.131050
1075,10.168485,14.821984,0.672015,0.027207,1.316639,1,0.695178,0.009016,0.192946
1018,26.786839,13.852448,0.707345,0.000008,1.445970,21,0.717490,0.000071,0.016311
1027,24.518682,13.782575,0.697826,0.000007,1.454491,19,0.706401,0.000052,0.014465
1035,23.949640,13.863871,0.750915,0.000013,1.536572,18,0.761809,0.000099,0.017176
1039,22.998194,13.872011,0.721739,0.000015,1.496184,17,0.732464,0.000110,0.019576
1042,22.210962,13.891144,0.691560,0.000011,1.461251,16,0.699425,0.000066,0.016609
1045,21.169634,13.876611,0.625296,0.000027,1.247200,15,0.634584,0.000187,0.033898
1048,20.257666,13.911299,0.704621,0.000018,1.518408,14,0.711978,0.000096,0.019339
1052,19.280760,13.949291,0.801346,0.000033,1.663240,13,0.808951,0.000167,0.019739
1055,18.586655,14.001801,0.667721,0.000034,1.425470,12,0.671221,0.000168,0.028746
1057,15.746705,14.010240,0.797473,0.000117,1.429997,9,0.804593,0.000402,0.030956
1062,13.551547,13.967644,0.670051,0.000408,1.349230,7,0.644964,0.000859,0.070318
1063,14.320177,13.958954,0.798481,0.000327,1.553763,8,0.801187,0.000826,0.044728
1064,13.442954,13.953901,0.643655,0.000514,1.250575,7,0.646010,0.001150,0.081030
1065,12.313605,14.209461,0.815085,0.000683,1.435865,5,0.808585,0.001016,0.048677
1070,10.908714,14.361599,0.844329,0.009108,1.658844,4,0.812631,0.005506,0.111449
1072,10.195193,14.811010,0.838598,0.036991,1.687684,1,0.824268,0.007370,0.125012
1073,10.000000,15.000000,0.726230,0.058601,1.452461,0,0.758150,0.008321,0.156464
1074,10.488429,14.611697,0.862278,0.019225,1.763967,2,0.860101,0.007079,0.112669
1075,10.431858,14.623507,0.683370,0.013937,1.316639,2,0.691550,0.006033,0.160412
1018,27.726377,13.844867,0.708307,0.000007,1.445970,22,0.718274,0.000068,0.016012
1027,25.465437,13.774849,0.698865,0.000007,1.454491,20,0.706831,0.000050,0.014171
1035,24.885874,13.854354,0.752123,0.000011,1.536572,19,0.762608,0.000096,0.016810
1039,23.932220,13.861576,0.723014,0.000013,1.496184,18,0.733285,0.000106,0.019132
1042,23.159578,13.882521,0.692634,0.000009,1.461251,17,0.699762,0.000063,0.016256
1045,22.086693,13.862022,0.626444,0.000024,1.247200,16,0.634706,0.000178,0.033128
1048,21.203926,13.901079,0.705742,0.000015,1.518408,15,0.712448,0.000092,0.018902
1052,20.219807,13.936854,0.802581,0.000028,1.663240,14,0.809864,0.000158,0.019148
1055,19.521797,13.987983,0.668298,0.000028,1.425470,13,0.672421,0.000160,0.027957
1057,16.632610,13.980559,0.799023,0.000092,1.429997,10,0.805295,0.000373,0.029760
1063,15.165651,13.914684,0.799209,0.000239,1.553763,9,0.803749,0.000742,0.042124
1064,14.214774,13.885884,0.644326,0.000368,1.250575,8,0.645703,0.001009,0.075997
1065,13.094693,14.134435,0.812674,0.000430,1.435865,6,0.806783,0.000955,0.047398
1070,11.417722,14.198170,0.828511,0.004625,1.658844,5,0.796450,0.004335,0.103090
1071,10.000000,15.000000,0.846353,0.079590,1.692707,0,0.816401,0.007216,0.126099
1072,10.510913,14.607901,0.830388,0.015829,1.687684,2,0.827383,0.006114,0.113219
1073,10.190953,14.812588,0.742920,0.028149,1.452461,1,0.757442,0.006949,0.143581
1074,10.919100,14.423756,0.861073,0.008590,1.763967,3,0.864315,0.005808,0.101232
1075,10.807178,14.429726,0.687514,0.006884,1.316639,3,0.690007,0.004470,0.139125
