id,a,b,mu,sigma2,depthRange,count,x,tau2,depTau,zNoise
27,10.586535,14.403665,0.283696,0.001247,0.421959,4,0.292783,0.000726,0.311697,4.054900
29,10.420099,14.524579,0.277172,0.001491,0.401570,4,0.287522,0.000783,0.335350,4.361154
30,11.961354,14.356805,0.291402,0.000159,0.497178,6,0.285053,0.000176,0.163008,1.653685
31,12.222208,14.074988,0.216937,0.000061,0.385514,6,0.214829,0.000046,0.147335,0.426235
0,10.065319,14.928943,0.258472,0.002974,0.390315,3,0.284596,0.001554,0.477730,6.033079
2,12.484103,14.000257,0.247335,0.000101,0.445699,6,0.241221,0.000131,0.196223,1.058605
3,13.158905,13.965376,0.269992,0.000064,0.510261,7,0.262582,0.000098,0.143703,0.858531
4,13.770068,14.055991,0.275900,0.000027,0.528888,7,0.266638,0.000044,0.092871,0.168961
5,12.466206,14.004298,0.281892,0.000136,0.483711,6,0.273683,0.000193,0.185074,1.806164
6,13.026174,13.988076,0.244205,0.000049,0.450971,7,0.237606,0.000068,0.145920,0.450613
7,12.496728,14.000437,0.273278,0.000122,0.477541,6,0.265631,0.000168,0.183294,1.453666
8,13.700124,14.048478,0.295495,0.000041,0.588757,7,0.285681,0.000073,0.104346,0.694953
9,11.207446,14.129371,0.260749,0.000472,0.406094,5,0.257750,0.000447,0.316036,3.005526
10,13.038507,14.034800,0.301697,0.000087,0.548181,7,0.292146,0.000146,0.141388,1.439332
11,13.713685,14.077306,0.289591,0.000032,0.562102,7,0.279748,0.000053,0.093338,0.442799
12,13.486043,14.066097,0.297192,0.000046,0.572727,7,0.287314,0.000079,0.107903,0.829077
13,13.564641,14.019058,0.290328,0.000047,0.559389,7,0.281119,0.000080,0.113225,0.740209
14,13.052958,14.205552,0.263378,0.000043,0.474270,7,0.254037,0.000065,0.124648,0.695858
15,13.532931,14.016800,0.274257,0.000039,0.532685,7,0.265295,0.000061,0.111172,0.423459
16,12.075727,13.967791,0.227224,0.000143,0.396426,6,0.222863,0.000163,0.256376,1.244714
17,13.274269,13.988550,0.236539,0.000027,0.419823,7,0.228441,0.000036,0.114489,0.185532
